invesment_id,time_id,date_id,target,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139
sh.600000,1,2021-12-29,0.0035,8.57,8.58,8.53,8.54,20050130.0,0.07,-0.35,8.56,8.59,8.54,8.57,29833707.0,0.1,0.12,8.54,8.57,8.53,8.56,19527735.0,0.07,0.23,8.58,8.59,8.53,8.54,18252048.0,0.06,-0.47,8.58,8.6,8.56,8.58,18901873.0,0.06,0.12,8.62,8.64,8.57,8.57,21618063.0,0.07,-0.46,8.55,8.65,8.55,8.61,26310957.0,0.09,0.35,8.55,8.61,8.55,8.58,27786123.0,0.09,0.23,8.61,8.62,8.56,8.56,27269580.0,0.09,-0.47,8.56,8.61,8.55,8.6,26899524.0,0.09,0.58,8.54,8.58,8.53,8.55,20664239.0,0.07,-0.23,8.64,8.65,8.54,8.57,49389318.0,0.17,-0.92,8.79,8.81,8.62,8.65,56234006.0,0.19,-1.37,8.73,8.78,8.72,8.77,42494890.0,0.14,0.23,8.69,8.8,8.66,8.75,51186201.0,0.17,0.92,8.7,8.7,8.63,8.67,28605916.0,0.1,-0.12,8.69,8.7,8.6,8.68,40016290.0,0.14,0.93,8.59,8.64,8.57,8.6,33882029.0,0.12,0.12,8.58,8.6,8.52,8.59,23848744.0,0.08,0.12,8.56,8.61,8.52,8.58,22906201.0,0.08,0.23
sh.600000,2,2022-01-28,0.02,8.48,8.51,8.41,8.41,43993766.0,0.15,-0.47,8.55,8.56,8.45,8.45,56281031.0,0.19,-1.4,8.57,8.59,8.54,8.57,23481959.0,0.08,0.12,8.68,8.68,8.56,8.56,43312412.0,0.15,-1.5,8.79,8.79,8.66,8.69,32489722.0,0.11,-0.8,8.78,8.8,8.72,8.76,47572539.0,0.16,-0.45,8.66,8.82,8.64,8.8,82842044.0,0.28,1.85,8.63,8.66,8.61,8.64,26257662.0,0.09,0.12,8.58,8.66,8.55,8.63,39995195.0,0.14,0.7,8.57,8.63,8.57,8.57,22177975.0,0.08,-0.23,8.72,8.72,8.57,8.59,51060652.0,0.17,-1.49,8.73,8.85,8.69,8.72,48923692.0,0.17,0.35,8.75,8.75,8.63,8.69,41240670.0,0.14,-0.46,8.74,8.78,8.69,8.73,42646106.0,0.15,0.11,8.72,8.78,8.66,8.72,34055312.0,0.12,0.11,8.57,8.73,8.57,8.71,63018297.0,0.21,1.63,8.66,8.66,8.56,8.57,41031062.0,0.14,-0.81,8.57,8.68,8.56,8.64,55459135.0,0.19,0.82,8.54,8.58,8.52,8.57,37707647.0,0.13,0.47,8.54,8.57,8.53,8.53,22929621.0,0.08,-0.12
sh.600000,3,2022-02-07,0.0188,8.48,8.55,8.44,8.52,39988312.0,0.14,1.31,8.48,8.51,8.41,8.41,43993766.0,0.15,-0.47,8.55,8.56,8.45,8.45,56281031.0,0.19,-1.4,8.57,8.59,8.54,8.57,23481959.0,0.08,0.12,8.68,8.68,8.56,8.56,43312412.0,0.15,-1.5,8.79,8.79,8.66,8.69,32489722.0,0.11,-0.8,8.78,8.8,8.72,8.76,47572539.0,0.16,-0.45,8.66,8.82,8.64,8.8,82842044.0,0.28,1.85,8.63,8.66,8.61,8.64,26257662.0,0.09,0.12,8.58,8.66,8.55,8.63,39995195.0,0.14,0.7,8.57,8.63,8.57,8.57,22177975.0,0.08,-0.23,8.72,8.72,8.57,8.59,51060652.0,0.17,-1.49,8.73,8.85,8.69,8.72,48923692.0,0.17,0.35,8.75,8.75,8.63,8.69,41240670.0,0.14,-0.46,8.74,8.78,8.69,8.73,42646106.0,0.15,0.11,8.72,8.78,8.66,8.72,34055312.0,0.12,0.11,8.57,8.73,8.57,8.71,63018297.0,0.21,1.63,8.66,8.66,8.56,8.57,41031062.0,0.14,-0.81,8.57,8.68,8.56,8.64,55459135.0,0.19,0.82,8.54,8.58,8.52,8.57,37707647.0,0.13,0.47
sh.600000,4,2022-02-08,0.0116,8.53,8.67,8.51,8.65,47572520.0,0.16,1.53,8.48,8.55,8.44,8.52,39988312.0,0.14,1.31,8.48,8.51,8.41,8.41,43993766.0,0.15,-0.47,8.55,8.56,8.45,8.45,56281031.0,0.19,-1.4,8.57,8.59,8.54,8.57,23481959.0,0.08,0.12,8.68,8.68,8.56,8.56,43312412.0,0.15,-1.5,8.79,8.79,8.66,8.69,32489722.0,0.11,-0.8,8.78,8.8,8.72,8.76,47572539.0,0.16,-0.45,8.66,8.82,8.64,8.8,82842044.0,0.28,1.85,8.63,8.66,8.61,8.64,26257662.0,0.09,0.12,8.58,8.66,8.55,8.63,39995195.0,0.14,0.7,8.57,8.63,8.57,8.57,22177975.0,0.08,-0.23,8.72,8.72,8.57,8.59,51060652.0,0.17,-1.49,8.73,8.85,8.69,8.72,48923692.0,0.17,0.35,8.75,8.75,8.63,8.69,41240670.0,0.14,-0.46,8.74,8.78,8.69,8.73,42646106.0,0.15,0.11,8.72,8.78,8.66,8.72,34055312.0,0.12,0.11,8.57,8.73,8.57,8.71,63018297.0,0.21,1.63,8.66,8.66,8.56,8.57,41031062.0,0.14,-0.81,8.57,8.68,8.56,8.64,55459135.0,0.19,0.82
sh.600000,5,2022-02-09,0.0092,8.64,8.71,8.62,8.64,36223235.0,0.12,-0.12,8.53,8.67,8.51,8.65,47572520.0,0.16,1.53,8.48,8.55,8.44,8.52,39988312.0,0.14,1.31,8.48,8.51,8.41,8.41,43993766.0,0.15,-0.47,8.55,8.56,8.45,8.45,56281031.0,0.19,-1.4,8.57,8.59,8.54,8.57,23481959.0,0.08,0.12,8.68,8.68,8.56,8.56,43312412.0,0.15,-1.5,8.79,8.79,8.66,8.69,32489722.0,0.11,-0.8,8.78,8.8,8.72,8.76,47572539.0,0.16,-0.45,8.66,8.82,8.64,8.8,82842044.0,0.28,1.85,8.63,8.66,8.61,8.64,26257662.0,0.09,0.12,8.58,8.66,8.55,8.63,39995195.0,0.14,0.7,8.57,8.63,8.57,8.57,22177975.0,0.08,-0.23,8.72,8.72,8.57,8.59,51060652.0,0.17,-1.49,8.73,8.85,8.69,8.72,48923692.0,0.17,0.35,8.75,8.75,8.63,8.69,41240670.0,0.14,-0.46,8.74,8.78,8.69,8.73,42646106.0,0.15,0.11,8.72,8.78,8.66,8.72,34055312.0,0.12,0.11,8.57,8.73,8.57,8.71,63018297.0,0.21,1.63,8.66,8.66,8.56,8.57,41031062.0,0.14,-0.81
sh.600000,6,2022-02-10,0.0046,8.66,8.71,8.62,8.69,28716174.0,0.1,0.58,8.64,8.71,8.62,8.64,36223235.0,0.12,-0.12,8.53,8.67,8.51,8.65,47572520.0,0.16,1.53,8.48,8.55,8.44,8.52,39988312.0,0.14,1.31,8.48,8.51,8.41,8.41,43993766.0,0.15,-0.47,8.55,8.56,8.45,8.45,56281031.0,0.19,-1.4,8.57,8.59,8.54,8.57,23481959.0,0.08,0.12,8.68,8.68,8.56,8.56,43312412.0,0.15,-1.5,8.79,8.79,8.66,8.69,32489722.0,0.11,-0.8,8.78,8.8,8.72,8.76,47572539.0,0.16,-0.45,8.66,8.82,8.64,8.8,82842044.0,0.28,1.85,8.63,8.66,8.61,8.64,26257662.0,0.09,0.12,8.58,8.66,8.55,8.63,39995195.0,0.14,0.7,8.57,8.63,8.57,8.57,22177975.0,0.08,-0.23,8.72,8.72,8.57,8.59,51060652.0,0.17,-1.49,8.73,8.85,8.69,8.72,48923692.0,0.17,0.35,8.75,8.75,8.63,8.69,41240670.0,0.14,-0.46,8.74,8.78,8.69,8.73,42646106.0,0.15,0.11,8.72,8.78,8.66,8.72,34055312.0,0.12,0.11,8.57,8.73,8.57,8.71,63018297.0,0.21,1.63
sh.600000,7,2022-02-11,-0.0104,8.7,8.76,8.67,8.74,37682874.0,0.13,0.58,8.66,8.71,8.62,8.69,28716174.0,0.1,0.58,8.64,8.71,8.62,8.64,36223235.0,0.12,-0.12,8.53,8.67,8.51,8.65,47572520.0,0.16,1.53,8.48,8.55,8.44,8.52,39988312.0,0.14,1.31,8.48,8.51,8.41,8.41,43993766.0,0.15,-0.47,8.55,8.56,8.45,8.45,56281031.0,0.19,-1.4,8.57,8.59,8.54,8.57,23481959.0,0.08,0.12,8.68,8.68,8.56,8.56,43312412.0,0.15,-1.5,8.79,8.79,8.66,8.69,32489722.0,0.11,-0.8,8.78,8.8,8.72,8.76,47572539.0,0.16,-0.45,8.66,8.82,8.64,8.8,82842044.0,0.28,1.85,8.63,8.66,8.61,8.64,26257662.0,0.09,0.12,8.58,8.66,8.55,8.63,39995195.0,0.14,0.7,8.57,8.63,8.57,8.57,22177975.0,0.08,-0.23,8.72,8.72,8.57,8.59,51060652.0,0.17,-1.49,8.73,8.85,8.69,8.72,48923692.0,0.17,0.35,8.75,8.75,8.63,8.69,41240670.0,0.14,-0.46,8.74,8.78,8.69,8.73,42646106.0,0.15,0.11,8.72,8.78,8.66,8.72,34055312.0,0.12,0.11
sh.600000,8,2022-02-14,0.0,8.69,8.71,8.58,8.6,34727078.0,0.12,-1.6,8.7,8.76,8.67,8.74,37682874.0,0.13,0.58,8.66,8.71,8.62,8.69,28716174.0,0.1,0.58,8.64,8.71,8.62,8.64,36223235.0,0.12,-0.12,8.53,8.67,8.51,8.65,47572520.0,0.16,1.53,8.48,8.55,8.44,8.52,39988312.0,0.14,1.31,8.48,8.51,8.41,8.41,43993766.0,0.15,-0.47,8.55,8.56,8.45,8.45,56281031.0,0.19,-1.4,8.57,8.59,8.54,8.57,23481959.0,0.08,0.12,8.68,8.68,8.56,8.56,43312412.0,0.15,-1.5,8.79,8.79,8.66,8.69,32489722.0,0.11,-0.8,8.78,8.8,8.72,8.76,47572539.0,0.16,-0.45,8.66,8.82,8.64,8.8,82842044.0,0.28,1.85,8.63,8.66,8.61,8.64,26257662.0,0.09,0.12,8.58,8.66,8.55,8.63,39995195.0,0.14,0.7,8.57,8.63,8.57,8.57,22177975.0,0.08,-0.23,8.72,8.72,8.57,8.59,51060652.0,0.17,-1.49,8.73,8.85,8.69,8.72,48923692.0,0.17,0.35,8.75,8.75,8.63,8.69,41240670.0,0.14,-0.46,8.74,8.78,8.69,8.73,42646106.0,0.15,0.11
sh.600000,9,2022-02-15,0.0105,8.59,8.63,8.52,8.55,31680750.0,0.11,-0.58,8.69,8.71,8.58,8.6,34727078.0,0.12,-1.6,8.7,8.76,8.67,8.74,37682874.0,0.13,0.58,8.66,8.71,8.62,8.69,28716174.0,0.1,0.58,8.64,8.71,8.62,8.64,36223235.0,0.12,-0.12,8.53,8.67,8.51,8.65,47572520.0,0.16,1.53,8.48,8.55,8.44,8.52,39988312.0,0.14,1.31,8.48,8.51,8.41,8.41,43993766.0,0.15,-0.47,8.55,8.56,8.45,8.45,56281031.0,0.19,-1.4,8.57,8.59,8.54,8.57,23481959.0,0.08,0.12,8.68,8.68,8.56,8.56,43312412.0,0.15,-1.5,8.79,8.79,8.66,8.69,32489722.0,0.11,-0.8,8.78,8.8,8.72,8.76,47572539.0,0.16,-0.45,8.66,8.82,8.64,8.8,82842044.0,0.28,1.85,8.63,8.66,8.61,8.64,26257662.0,0.09,0.12,8.58,8.66,8.55,8.63,39995195.0,0.14,0.7,8.57,8.63,8.57,8.57,22177975.0,0.08,-0.23,8.72,8.72,8.57,8.59,51060652.0,0.17,-1.49,8.73,8.85,8.69,8.72,48923692.0,0.17,0.35,8.75,8.75,8.63,8.69,41240670.0,0.14,-0.46
sh.600000,10,2022-02-16,0.0081,8.58,8.64,8.56,8.59,28609574.0,0.1,0.47,8.59,8.63,8.52,8.55,31680750.0,0.11,-0.58,8.69,8.71,8.58,8.6,34727078.0,0.12,-1.6,8.7,8.76,8.67,8.74,37682874.0,0.13,0.58,8.66,8.71,8.62,8.69,28716174.0,0.1,0.58,8.64,8.71,8.62,8.64,36223235.0,0.12,-0.12,8.53,8.67,8.51,8.65,47572520.0,0.16,1.53,8.48,8.55,8.44,8.52,39988312.0,0.14,1.31,8.48,8.51,8.41,8.41,43993766.0,0.15,-0.47,8.55,8.56,8.45,8.45,56281031.0,0.19,-1.4,8.57,8.59,8.54,8.57,23481959.0,0.08,0.12,8.68,8.68,8.56,8.56,43312412.0,0.15,-1.5,8.79,8.79,8.66,8.69,32489722.0,0.11,-0.8,8.78,8.8,8.72,8.76,47572539.0,0.16,-0.45,8.66,8.82,8.64,8.8,82842044.0,0.28,1.85,8.63,8.66,8.61,8.64,26257662.0,0.09,0.12,8.58,8.66,8.55,8.63,39995195.0,0.14,0.7,8.57,8.63,8.57,8.57,22177975.0,0.08,-0.23,8.72,8.72,8.57,8.59,51060652.0,0.17,-1.49,8.73,8.85,8.69,8.72,48923692.0,0.17,0.35
